COMUNE,CODE_NAZ,CODE EoI,NOME_STA,Longitude,Latitude,UTM-X,UTM-Y,TIPO_EoI,PM10,PM2.5,NOX,CO,BTX,O3,SO2,Pb,As,Ni,Cd,BAP,D/I,Via,VLg
TRENTO,"402209",IT1037A,TRENTO PSC,"11.126200042320681","46.06292569207184",664448.508400000049733,5103236.735000000335276,UF,M1,M1,Y,,,Y,Y,Y,Y,Y,Y,Y,D,,
TRENTO,"402211",IT1859A,TRENTO VBZ,"11.110221933705795","46.1043347007157",663090.602100000018254,5107804.599000000394881,UT,M1,M1,Y,Y,Y,,,,,,,,D,,Y
ROVERETO,"402206",IT0591A,ROVERETO LGP,"11.039626227464511","45.892346400056",658237.991599999950267,5084109.310999999754131,UF,M1,M1,Y,,,Y,,,,,,,D,,
RIVA DEL GARDA,"402204",IT0753A,RIVA GAR,"10.844392105749225","45.89143032186221",643093.883900000015274,5083638.764999999664724,SF,M1,,Y,,,Y,,,,,,,D,,
BORGO VALSUGANA,"402201",IT0703A,BORGO VAL,"11.45418989667011","46.05171564828127",689854.423100000014529,5102721.809000000357628,SF,M1,M1,Y,,,Y,,,,,,,D,,Y
MEZZO LOMBARDO,"402212",IT1930A,PIANA ROTALIANA,"11.113394496074704","46.196812170876804",663062.350100000039674,5118085.995000000111759,RF-NCA,M1,M1,Y,,,Y,,,,,,,D,,
VEZZANO,"402203",IT1191A,MONTE GAZA,"10.958039828682947","46.08252852847563",651388.910999999963678,5105080.776999999769032,RF-REG,M1,,Y,,,Y,,,,,,,D,,
AVIO,,,A22 (Avio),"45.74215643588011","10.970474947468178",,,UT,M1,,Y,Y,,,,,,,,,,,
